Step,TimeStamp,AvgEnergy,AverageEnergy_5th,AverageEnergy_95th,NoBoids,NoFoodSources,TotalFoodAvailable,Polarization,Expanse
252,15120.54,405.6208,405.5962,405.6594,25,1,449.7935,0.4584512,0.7805844
253,15180.54,405.7065,405.6823,405.7449,25,1,449.7936,0.4699155,0.673633
254,15240.54,405.7925,405.7667,405.8312,25,1,449.7868,0.4894727,0.8139669
255,15300.54,405.8787,405.8544,405.9175,25,1,449.7783,0.4865927,0.7499076
256,15360.54,405.9643,405.9396,406.0034,25,1,449.7811,0.4530419,1.007454
257,15420.54,406.0497,406.0249,406.088,25,1,449.7892,0.461371,0.6743891
258,15480.54,406.136,406.1112,406.1751,25,1,449.7784,0.4759031,0.7618804
259,15540.54,406.2218,406.1978,406.259,25,1,449.7768,0.4851247,0.8416336
260,15600.54,406.3075,406.2824,406.3445,25,1,449.7769,0.4580017,0.9474182
261,15660.54,406.3935,406.3694,406.4316,25,1,449.771,0.4668759,0.7761388
262,15720.54,406.4799,406.4567,406.5168,25,1,449.7561,0.3934273,0.8617365
263,15780.54,406.566,406.5437,406.6027,25,1,449.7483,0.4565531,0.6254017
264,15840.54,406.6522,406.6304,406.6902,25,1,449.7372,0.4859631,0.7709587
265,15900.54,406.7379,406.7159,406.776,25,1,449.7388,0.489235,0.649011
266,15960.54,406.8235,406.8015,406.8628,25,1,449.7424,0.4805784,1.055771
267,16020.54,406.9093,406.886,406.9489,25,1,449.7419,0.4247016,0.7814002
268,16080.54,406.9964,406.9727,407.0361,25,1,449.7083,0.4972219,0.6868499
269,16140.54,407.0819,407.058,407.1202,25,1,449.7155,0.4658275,0.7952621
270,16200.54,407.1678,407.1438,407.2035,25,1,449.7127,0.4168981,0.8457307
271,16260.54,407.254,407.2309,407.2901,25,1,449.7012,0.468785,0.8737944
272,16320.54,407.3397,407.3172,407.3751,25,1,449.7031,0.4686649,0.8503562
273,16380.54,407.4252,407.4013,407.4619,25,1,449.7084,0.4571059,0.6585084
274,16440.54,407.5113,407.4883,407.5486,25,1,449.6997,0.482803,0.7565073
275,16500.54,407.5969,407.5733,407.6346,25,1,449.7053,0.4382612,0.4714722
276,16560.54,407.6826,407.6591,407.7203,25,1,449.7056,0.4885078,0.7740307
277,16620.54,407.7683,407.7436,407.8053,25,1,449.7076,0.4651192,0.6646329
278,16680.54,407.8539,407.8279,407.8904,25,1,449.7125,0.4763449,0.7294396
279,16740.54,407.9396,407.9148,407.9765,25,1,449.7131,0.419864,0.4174375
280,16800.54,408.0254,408.0004,408.0638,25,1,449.7129,0.4895488,0.9636969
281,16860.54,408.1109,408.0872,408.1506,25,1,449.7179,0.4791319,0.7894487
282,16920.54,408.1968,408.1736,408.2371,25,1,449.7159,0.4860382,0.6939023
283,16980.54,408.2832,408.2603,408.3225,25,1,449.6994,0.4514197,0.9723151
284,17040.54,408.3689,408.347,408.4083,25,1,449.7008,0.4469292,0.856176
285,17100.54,408.4549,408.434,408.4948,25,1,449.6953,0.4879408,1.000148
286,17160.54,408.5406,408.5195,408.581,25,1,449.6977,0.4564842,1.034945
287,17220.54,408.6264,408.6047,408.6671,25,1,449.6953,0.4827966,0.9788401
288,17280.54,408.7117,408.6892,408.7509,25,1,449.7065,0.4649689,0.6819382
289,17340.54,408.7975,408.7746,408.8365,25,1,449.7052,0.4855573,0.756013
290,17400.54,408.8835,408.8591,408.9226,25,1,449.7017,0.4529287,0.8710155
291,17460.54,408.9691,408.9441,409.0082,25,1,449.7056,0.4492551,1.013923
292,17520.54,409.0545,409.0288,409.0957,25,1,449.7128,0.492615,0.7447668
293,17580.54,409.1409,409.1158,409.1799,25,1,449.6977,0.4159321,0.6891739
294,17640.54,409.2274,409.2029,409.2678,25,1,449.6784,0.4375389,0.9989803
295,17700.54,409.313,409.2883,409.3528,25,1,449.6833,0.4886782,0.5162572
296,17760.54,409.3997,409.3758,409.4387,25,1,449.6607,0.4584599,0.9282827
297,17820.54,409.4855,409.4612,409.5233,25,1,449.6591,0.4947273,0.8863071
298,17880.54,409.5716,409.548,409.6092,25,1,449.6512,0.4602538,0.6270549
299,17940.54,409.6574,409.6346,409.6937,25,1,449.6492,0.3934492,0.6646565
300,18000.54,409.7434,409.721,409.7791,25,1,449.6437,0.4697289,0.5086016
301,18060.54,409.8291,409.8043,409.8643,25,1,449.6454,0.4699757,0.4713408
302,18120.54,409.9149,409.8904,409.9499,25,1,449.645,0.4786223,0.686173
303,18180.54,410.0009,409.9763,410.0351,25,1,449.638,0.4642501,0.3970846
304,18240.54,410.0869,410.0627,410.1212,25,1,449.6345,0.4679306,0.807385
305,18300.54,410.1724,410.1474,410.2069,25,1,449.6408,0.4593664,0.9002497
306,18360.54,410.2584,410.2343,410.2934,25,1,449.6331,0.4644928,0.5352725
307,18420.54,410.3439,410.3205,410.3784,25,1,449.6403,0.4789332,0.9235699
308,18480.54,410.4288,410.4046,410.4641,25,1,449.6614,0.4855095,0.6264008
309,18540.54,410.5149,410.4911,410.5514,25,1,449.6527,0.4755513,0.6065773
310,18600.54,410.6009,410.5774,410.6375,25,1,449.6484,0.497774,0.6302012
311,18660.54,410.6872,410.6621,410.7234,25,1,449.6346,0.4972726,0.7211874
312,18720.54,410.7735,410.7486,410.8092,25,1,449.6208,0.471352,0.8473013
313,18780.54,410.8593,410.8342,410.8963,25,1,449.6188,0.4961506,0.9841462
314,18840.54,410.9446,410.9198,410.9826,25,1,449.6312,0.4616642,0.8578101
315,18900.54,411.0305,411.0077,411.0674,25,1,449.627,0.4695616,0.5358679
316,18960.54,411.1153,411.0934,411.153,25,1,449.6517,0.4810844,0.6860572
317,19020.54,411.2011,411.1779,411.2385,25,1,449.6504,0.4653367,0.4453026
318,19080.54,411.2868,411.2632,411.3241,25,1,449.6522,0.4746223,0.7122086
319,19140.54,411.373,411.3479,411.4105,25,1,449.6434,0.4316993,0.7200041
320,19200.54,411.4581,411.4339,411.4948,25,1,449.6589,0.4857551,0.6027296
321,19260.54,411.5441,411.5213,411.5778,25,1,449.6536,0.4698416,0.5106568
322,19320.54,411.6295,411.6064,411.6644,25,1,449.6617,0.4791212,0.7204041
