Step,TimeStamp,AvgEnergy,NoBoids,NoFoodSources,TotalFoodAvailable,Polarization,Expanse
197,11820.01,400.8953,25,1,450.0047,0.4965068,0.7572806
198,11880.01,400.981,25,1,450.0047,0.4841564,0.8490865
199,11940.01,401.0668,25,1,450.0047,0.432934,0.8247242
200,12000.01,401.1526,25,1,450.0047,0.4887155,0.63573
201,12060.01,401.2383,25,1,450.0047,0.4873624,0.9130782
202,12120.01,401.3241,25,1,450.0047,0.4715356,0.7711949
203,12180.01,401.4099,25,1,450.0047,0.4666486,0.7808821
204,12240.01,401.4956,25,1,450.0047,0.4564976,0.6746008
205,12300.01,401.5814,25,1,450.0047,0.4614899,0.9023569
206,12360.01,401.6672,25,1,450.0047,0.4499503,0.9907025
207,12420.01,401.7529,25,1,450.0047,0.4907038,0.8903514
208,12480.01,401.8387,25,1,450.0047,0.4738901,0.7696302
209,12540.01,401.9245,25,1,450.0047,0.4428115,0.8825721
210,12600.01,402.0102,25,1,450.0047,0.4706226,0.5260432
211,12660.01,402.096,25,1,450.0047,0.4870695,0.8166218
212,12720.01,402.1818,25,1,450.0047,0.4254472,0.9665704
213,12780.01,402.2675,25,1,450.0047,0.4871591,0.7455537
214,12840.01,402.3533,25,1,450.0047,0.4481572,1.0111
215,12900.01,402.4391,25,1,450.0047,0.4399982,1.010487
216,12960.01,402.5248,25,1,450.0047,0.4208359,1.050078
217,13020.01,402.6106,25,1,450.0047,0.4687395,1.006223
218,13080.01,402.6964,25,1,450.0047,0.4885939,0.9883335
219,13140.01,402.7821,25,1,450.0047,0.4084212,0.822013
220,13200.01,402.8679,25,1,450.0047,0.4418955,0.7216053
221,13260.01,402.9536,25,1,450.0047,0.4447563,1.010928
222,13320.01,403.0394,25,1,450.0047,0.4141619,0.7357868
223,13380.01,403.1252,25,1,450.0047,0.3773328,0.9545692
224,13440.01,403.2109,25,1,450.0047,0.450573,0.8505418
225,13500.01,403.2967,25,1,450.0047,0.4675619,0.8817014
226,13560.01,403.3824,25,1,450.0047,0.486095,0.4119534
227,13620.01,403.4682,25,1,450.0047,0.4407668,0.7732647
228,13680.56,403.554,25,1,450.0047,0.4735472,0.6578318
229,13740.56,403.6397,25,1,450.0047,0.4732651,0.9015971
230,13800.56,403.7255,25,1,450.0047,0.4996405,0.331554
