Step,TimeStamp,AvgEnergy,AverageEnergy_5th,AverageEnergy_95th,NoBoids,NoFoodSources,TotalFoodAvailable,Polarization,Expanse
236,14160.47,400.319,400.2959,400.3427,25,1,548.0325,0.4676528,0.8578819
237,14220.47,400.3885,400.3671,400.4117,25,1,548.4399,0.4724846,0.9792904
238,14280.47,400.4574,400.436,400.4802,25,1,548.8612,0.4939056,0.9955515
239,14340.47,400.5264,400.5035,400.549,25,1,549.2789,0.4964515,0.7671324
240,14400.47,400.5957,400.5749,400.6177,25,1,549.6906,0.4986418,0.9694718
241,14460.47,400.6649,400.6426,400.6868,25,1,550.104,0.4923714,0.5880826
242,14520.47,400.7344,400.7124,400.7567,25,1,550.5114,0.481901,0.7061011
243,14580.47,400.8037,400.7819,400.8242,25,1,550.924,0.4663857,0.4411564
244,14640.47,400.8728,400.8524,400.8934,25,1,551.3391,0.4735971,0.7193598
245,14700.47,400.9427,400.9218,400.9642,25,1,551.7376,0.4704302,0.7503834
246,14760.47,401.0119,400.9911,401.0333,25,1,552.1497,0.4703269,0.9209662
247,14820.47,401.0809,401.0613,401.1015,25,1,552.5692,0.4890357,0.9708657
248,14880.47,401.1497,401.1298,401.1709,25,1,552.995,0.452167,0.7743067
249,14940.47,401.2188,401.1991,401.2405,25,1,553.4106,0.4707197,0.5664387
250,15000.47,401.2879,401.2682,401.3105,25,1,553.8271,0.4910073,0.9420851
251,15060.47,401.3572,401.337,401.3802,25,1,554.2375,0.460933,0.7561752
252,15120.47,401.4262,401.4055,401.4494,25,1,554.6571,0.4722395,0.9699373
253,15180.47,401.4955,401.4751,401.5198,25,1,555.0689,0.4815398,0.6306257
254,15240.47,401.5651,401.5448,401.5891,25,1,555.4727,0.4837896,0.8231792
255,15300.47,401.6345,401.6139,401.6571,25,1,555.8826,0.4052822,0.8324795
256,15360.47,401.7034,401.6824,401.7267,25,1,556.3035,0.486964,0.7159418
257,15420.47,401.7732,401.7528,401.7972,25,1,556.7023,0.4724732,0.6715823
258,15480.47,401.8421,401.8214,401.8669,25,1,557.1241,0.4524874,0.5053235
259,15540.47,401.9114,401.8899,401.9365,25,1,557.5364,0.4655864,0.5373382
260,15600.47,401.9805,401.9581,402.0053,25,1,557.9523,0.4933494,0.7098116
261,15660.47,402.0496,402.0269,402.0751,25,1,558.3687,0.4461806,1.098345
262,15720.47,402.1187,402.0962,402.1432,25,1,558.7872,0.4930545,0.8285413
263,15780.47,402.1884,402.1657,402.214,25,1,559.1878,0.4609051,0.4481555
264,15840.47,402.2573,402.2336,402.2815,25,1,559.6085,0.4847569,0.7420449
265,15900.47,402.3267,402.3024,402.3501,25,1,560.0197,0.4806979,1.050362
266,15960.47,402.396,402.3714,402.4198,25,1,560.4288,0.4228868,0.9251432
267,16020.47,402.4654,402.441,402.4894,25,1,560.8391,0.4610783,0.67896
268,16080.47,402.5348,402.5108,402.5573,25,1,561.2485,0.4761784,0.810342
269,16140.47,402.6038,402.5794,402.6255,25,1,561.6664,0.4667366,0.4566939
270,16200.47,402.6736,402.6483,402.6954,25,1,562.0676,0.4514928,0.9081737
271,16260.47,402.7424,402.7182,402.7645,25,1,562.491,0.4306273,0.8308787
272,16320.47,402.8113,402.7878,402.8335,25,1,562.9119,0.4801473,0.7588739
273,16380.47,402.8799,402.8568,402.9031,25,1,563.3414,0.479874,0.6721497
274,16440.47,402.9494,402.9263,402.9733,25,1,563.7465,0.4947166,0.8571213
275,16500.47,403.019,402.9949,403.0441,25,1,564.1523,0.4918739,0.7832611
276,16560.47,403.0875,403.0645,403.113,25,1,564.5837,0.4830209,0.8857387
277,16620.47,403.1565,403.1325,403.1821,25,1,565.0027,0.4755496,0.638559
278,16680.47,403.2253,403.2003,403.2513,25,1,565.4253,0.4872661,0.8847907
279,16740.47,403.2942,403.2688,403.3219,25,1,565.8486,0.4003747,0.6836401
280,16800.47,403.363,403.3359,403.3909,25,1,566.273,0.4503981,0.9961562
281,16860.47,403.4321,403.4042,403.4601,25,1,566.6898,0.3859707,0.8185852
282,16920.47,403.501,403.4742,403.5289,25,1,567.1114,0.4174821,0.812175
283,16980.47,403.5697,403.5455,403.5969,25,1,567.5366,0.4264329,0.9301619
284,17040.47,403.6388,403.6143,403.6668,25,1,567.9531,0.4558782,0.6328394
285,17100.47,403.7079,403.6839,403.7356,25,1,568.3698,0.4967358,0.7651222
286,17160.47,403.7769,403.7524,403.8042,25,1,568.7907,0.4777021,0.6135823
287,17220.47,403.8452,403.8203,403.8722,25,1,569.2257,0.4753465,0.6120497
288,17280.47,403.9141,403.8884,403.9414,25,1,569.6468,0.4408068,0.9052932
289,17340.47,403.9839,403.9571,404.0131,25,1,570.0478,0.4583762,0.8278606
290,17400.47,404.0527,404.027,404.081,25,1,570.4706,0.4574158,0.6862302
291,17460.47,404.1219,404.0967,404.1498,25,1,570.8852,0.4623184,0.967806
292,17520.47,404.1913,404.1682,404.2205,25,1,571.293,0.4945489,0.8259868
293,17580.47,404.2603,404.2373,404.2884,25,1,571.7125,0.4285061,0.8822285
294,17640.47,404.3293,404.3075,404.3564,25,1,572.1319,0.4870374,0.7712952
295,17700.47,404.3982,404.3752,404.4247,25,1,572.5529,0.4687126,0.8546855
296,17760.47,404.4673,404.4446,404.4957,25,1,572.9693,0.4765728,0.6786987
297,17820.47,404.5362,404.5124,404.5633,25,1,573.3916,0.4388327,0.4330433
298,17880.47,404.6053,404.5818,404.6312,25,1,573.8076,0.4925498,0.9139645
299,17940.47,404.6744,404.6504,404.7003,25,1,574.2258,0.441688,0.8700864
300,18000.47,404.7438,404.7217,404.7701,25,1,574.6343,0.4898964,1.024033
301,18060.47,404.8132,404.7898,404.8402,25,1,575.0425,0.4364646,1.117613
302,18120.47,404.8824,404.8603,404.91,25,1,575.4584,0.4920036,1.008361
303,18180.47,404.9516,404.9295,404.9796,25,1,575.872,0.473746,1.037441
304,18240.47,405.0208,404.9987,405.0489,25,1,576.2842,0.4939629,0.9780838
305,18300.47,405.0902,405.0684,405.1173,25,1,576.694,0.3709624,1.176283
