Step,TimeStamp,AvgEnergy,NoBoids,NoFoodSources,TotalFoodAvailable,Polarization,Expanse
300,9000.461,0,0,1,817.7979,NaN,NaN
301,9030.461,0,0,1,820.5235,NaN,NaN
302,9060.462,0,0,1,823.2492,NaN,NaN
303,9090.462,0,0,1,825.9749,NaN,NaN
304,9120.462,0,0,1,828.7006,NaN,NaN
305,9150.462,0,0,1,831.4263,NaN,NaN
306,9180.462,0,0,1,834.152,NaN,NaN
307,9210.462,0,0,1,836.8777,NaN,NaN
308,9240.462,0,0,1,839.6034,NaN,NaN
309,9270.462,0,0,1,842.3291,NaN,NaN
310,9300.462,0,0,1,845.0547,NaN,NaN
311,9330.462,0,0,1,847.7805,NaN,NaN
312,9360.462,0,0,1,850.5062,NaN,NaN
313,9390.462,0,0,1,853.2319,NaN,NaN
314,9420.462,0,0,1,855.9575,NaN,NaN
315,9450.462,0,0,1,858.6832,NaN,NaN
316,9480.462,0,0,1,861.4089,NaN,NaN
317,9510.462,0,0,1,864.1346,NaN,NaN
318,9540.462,0,0,1,866.8604,NaN,NaN
319,9570.462,0,0,1,869.586,NaN,NaN
320,9600.462,0,0,1,872.3117,NaN,NaN
321,9630.462,0,0,1,875.0374,NaN,NaN
322,9660.462,0,0,1,877.7631,NaN,NaN
323,9690.462,0,0,1,880.4888,NaN,NaN
324,9720.462,0,0,1,883.2145,NaN,NaN
325,9750.462,0,0,1,885.9402,NaN,NaN
326,9780.462,0,0,1,888.6659,NaN,NaN
327,9810.462,0,0,1,891.3916,NaN,NaN
328,9840.462,0,0,1,894.1172,NaN,NaN
329,9870.462,0,0,1,896.843,NaN,NaN
330,9900.462,0,0,1,899.5687,NaN,NaN
331,9930.462,0,0,1,902.2944,NaN,NaN
332,9960.462,0,0,1,905.02,NaN,NaN
333,9990.462,0,0,1,907.7457,NaN,NaN
334,10020.46,0,0,1,910.4714,NaN,NaN
335,10050.46,0,0,1,913.1971,NaN,NaN
336,10080.46,0,0,1,915.9229,NaN,NaN
337,10110.46,0,0,1,918.6485,NaN,NaN
338,10140.46,0,0,1,921.3742,NaN,NaN
339,10170.46,0,0,1,924.0999,NaN,NaN
340,10200.46,0,0,1,926.8256,NaN,NaN
341,10230.46,0,0,1,929.5513,NaN,NaN
342,10260.46,0,0,1,932.277,NaN,NaN
343,10290.46,0,0,1,935.0027,NaN,NaN
344,10320.46,0,0,1,937.7284,NaN,NaN
345,10350.46,0,0,1,940.4541,NaN,NaN
346,10380.46,0,0,1,943.1797,NaN,NaN
347,10410.46,0,0,1,945.9055,NaN,NaN
348,10440.46,0,0,1,948.6312,NaN,NaN
349,10470.46,0,0,1,951.3569,NaN,NaN
350,10500.46,0,0,1,954.0825,NaN,NaN
351,10530.46,0,0,1,956.8082,NaN,NaN
352,10560.46,0,0,1,959.5339,NaN,NaN
353,10590.46,0,0,1,962.2596,NaN,NaN
354,10620.46,0,0,1,964.9854,NaN,NaN
355,10650.46,0,0,1,967.711,NaN,NaN
356,10680.46,0,0,1,970.4367,NaN,NaN
357,10710.46,0,0,1,973.1624,NaN,NaN
358,10740.46,0,0,1,975.8881,NaN,NaN
359,10770.46,0,0,1,978.6138,NaN,NaN
360,10800.46,0,0,1,981.3395,NaN,NaN
361,10830.46,0,0,1,984.0652,NaN,NaN
362,10860.46,0,0,1,986.7909,NaN,NaN
363,10890.46,0,0,1,989.5166,NaN,NaN
364,10920.46,0,0,1,992.2422,NaN,NaN
365,10950.46,0,0,1,994.968,NaN,NaN
366,10980.46,0,0,1,997.6937,NaN,NaN
367,11010.46,0,0,1,1000.419,NaN,NaN
368,11040.46,0,0,1,1003.145,NaN,NaN
369,11070.46,0,0,1,1005.871,NaN,NaN
370,11100.46,0,0,1,1008.596,NaN,NaN
371,11130.46,0,0,1,1011.322,NaN,NaN
