Step,TimeStamp,AvgEnergy,AverageEnergy_5th,AverageEnergy_95th,NoBoids,NoFoodSources,TotalFoodAvailable,Polarization,Expanse
298,1085.301,386.6845,386.6845,386.6845,1,1,451.7652,2.980232E-08,0
299,1088.936,386.6939,386.6939,386.6939,1,1,451.7693,0,0
300,1092.51,386.7031,386.7031,386.7031,1,1,451.7741,-5.960464E-08,0
301,1096.119,386.7122,386.7122,386.7122,1,1,451.7795,2.980232E-08,0
302,1099.833,386.7203,386.7203,386.7203,1,1,451.7877,-5.960464E-08,0
303,1103.237,386.7296,386.7296,386.7296,1,1,451.7923,-5.960464E-08,0
304,1106.625,386.7384,386.7384,386.7384,1,1,451.7984,0,0
305,1110.07,386.748,386.748,386.748,1,1,451.8018,0,0
306,1113.656,386.7563,386.7563,386.7563,1,1,451.8099,0,0
307,1117.354,386.7646,386.7646,386.7646,1,1,451.8174,2.980232E-08,0
308,1120.826,386.7733,386.7733,386.7733,1,1,451.8239,1.788139E-07,0
309,1124.363,386.7813,386.7813,386.7813,1,1,451.8328,0,0
310,1128.031,386.7918,386.7918,386.7918,1,1,451.8333,-5.960464E-08,0
311,1131.944,386.8003,386.8003,386.8003,1,1,451.8402,0,0
312,1135.726,386.8099,386.8099,386.8099,1,1,451.844,0,0
313,1139.287,386.8177,386.8177,386.8177,1,1,451.8532,0,0
314,1142.827,386.8268,386.8268,386.8268,1,1,451.8582,2.980232E-08,0
315,1146.476,386.8366,386.8366,386.8366,1,1,451.8613,-1.788139E-07,0
316,1150.122,386.8459,386.8459,386.8459,1,1,451.8657,0,0
317,1153.617,386.8547,386.8547,386.8547,1,1,451.8719,2.980232E-08,0
318,1157.209,386.866,386.866,386.866,1,1,451.8699,5.960464E-08,0
319,1160.757,386.8752,386.8752,386.8752,1,1,451.8745,2.980232E-08,0
320,1164.261,386.8854,386.8854,386.8854,1,1,451.8762,0,0
321,1167.847,386.894,386.894,386.894,1,1,451.8829,5.960464E-08,0
322,1171.52,386.9036,386.9036,386.9036,1,1,451.8864,5.960464E-08,0
323,1175.056,386.9136,386.9136,386.9136,1,1,451.8885,-1.788139E-07,0
324,1178.611,386.9227,386.9227,386.9227,1,1,451.8935,1.490116E-07,0
325,1182.261,386.9322,386.9322,386.9322,1,1,451.8974,0,0
326,1185.684,386.9387,386.9387,386.9387,1,1,451.9111,0,0
327,1189.193,386.9467,386.9467,386.9467,1,1,451.9195,0,0
328,1192.745,386.956,386.956,386.956,1,1,451.9242,-5.960464E-08,0
329,1196.168,386.9641,386.9641,386.9641,1,1,451.9325,-5.960464E-08,0
330,1199.607,386.9741,386.9741,386.9741,1,1,451.9347,-5.960464E-08,0
331,1203.072,386.9837,386.9837,386.9837,1,1,451.9379,0,0
332,1206.465,386.9912,386.9912,386.9912,1,1,451.9483,2.980232E-08,0
333,1209.885,387,387,387,1,1,451.9542,2.980232E-08,0
334,1213.295,387.0097,387.0097,387.0097,1,1,451.9574,2.980232E-08,0
335,1216.658,387.0183,387.0183,387.0183,1,1,451.9643,-5.960464E-08,0
336,1220.057,387.0277,387.0277,387.0277,1,1,451.9683,0,0
337,1223.44,387.0368,387.0368,387.0368,1,1,451.9734,-5.960464E-08,0
338,1226.802,387.0461,387.0461,387.0461,1,1,451.9779,0,0
339,1230.188,387.0543,387.0543,387.0543,1,1,451.9859,5.960464E-08,0
340,1233.557,387.0634,387.0634,387.0634,1,1,451.9907,0,0
341,1236.94,387.0721,387.0721,387.0721,1,1,451.9973,2.980232E-08,0
342,1240.317,387.081,387.081,387.081,1,1,452.003,-1.788139E-07,0
343,1243.676,387.0898,387.0898,387.0898,1,1,452.0089,0,0
344,1247.079,387.0996,387.0996,387.0996,1,1,452.0117,1.490116E-07,0
345,1250.497,387.1086,387.1086,387.1086,1,1,452.0168,-5.960464E-08,0
346,1253.871,387.1178,387.1178,387.1178,1,1,452.0217,1.490116E-07,0
347,1257.307,387.1274,387.1274,387.1274,1,1,452.0251,0,0
348,1260.698,387.1362,387.1362,387.1362,1,1,452.0311,-5.960464E-08,0
349,1264.059,387.1437,387.1437,387.1437,1,1,452.0413,0,0
350,1267.442,387.1511,387.1511,387.1511,1,1,452.052,-5.960464E-08,0
351,1270.973,387.1589,387.1589,387.1589,1,1,452.0613,2.980232E-08,0
352,1274.541,387.1698,387.1698,387.1698,1,1,452.0605,0,0
353,1278.17,387.1782,387.1782,387.1782,1,1,452.0676,1.490116E-07,0
354,1281.771,387.1866,387.1866,387.1866,1,1,452.0749,0,0
