Step,TimeStamp,AvgEnergy,NoBoids,NoFoodSources,TotalFoodAvailable,Polarization,Expanse
406,12181.09,273.5541,25,0,0,0.4913983,1.117684
407,12211.09,273.5308,25,0,0,0.4828531,0.9737622
408,12241.08,273.5076,25,0,0,0.4698477,0.8851263
409,12271.09,273.4843,25,0,0,0.4769836,0.8442566
410,12301.09,273.461,25,0,0,0.4704808,1.016928
411,12331.09,273.4378,25,0,0,0.4749551,0.9811753
412,12361.08,273.4145,25,0,0,0.4702903,0.9361351
413,12391.09,273.3913,25,0,0,0.4426975,1.069219
414,12421.09,273.368,25,0,0,0.4919066,0.8230779
415,12451.09,273.3447,25,0,0,0.4653341,0.9998818
416,12481.09,273.3215,25,0,0,0.490548,1.163902
417,12511.09,273.2982,25,0,0,0.4914285,1.072199
418,12541.09,273.2749,25,0,0,0.4100763,1.008041
419,12571.09,273.2517,25,0,0,0.4821497,1.153145
420,12601.09,273.2284,25,0,0,0.429939,1.056204
421,12631.08,273.2051,25,0,0,0.4849634,1.051654
422,12661.09,273.1819,25,0,0,0.4821724,0.9923787
423,12691.09,273.1586,25,0,0,0.3731191,0.834903
424,12721.09,273.1353,25,0,0,0.4541281,0.9817344
425,12751.09,273.1121,25,0,0,0.3854032,0.908481
426,12781.08,273.0888,25,0,0,0.4613902,1.071413
427,12811.09,273.0656,25,0,0,0.4268156,1.095214
428,12841.09,273.0423,25,0,0,0.4944136,1.171548
429,12871.09,273.019,25,0,0,0.4609276,0.896022
430,12901.09,272.9958,25,0,0,0.4822475,0.8879632
431,12931.09,272.9725,25,0,0,0.4992212,1.044899
432,12961.09,272.9492,25,0,0,0.4744451,1.169629
433,12991.08,272.926,25,0,0,0.4912472,0.9592519
434,13021.08,272.9027,25,0,0,0.4742693,1.033864
435,13051.09,272.8795,25,0,0,0.4471116,0.9585951
436,13081.09,272.8562,25,0,0,0.4755031,0.863775
437,13111.08,272.8329,25,0,0,0.4515352,0.9408198
438,13141.09,272.8097,25,0,0,0.4857285,0.8458475
439,13171.09,272.7864,25,0,0,0.4568701,1.04102
440,13201.09,272.7631,25,0,0,0.4710672,0.941543
441,13231.09,272.7399,25,0,0,0.4585911,0.9977613
442,13261.09,272.7166,25,0,0,0.4927144,1.072182
443,13293.02,272.6933,25,0,0,0.4882909,0.9880893
444,13323.03,272.6701,25,0,0,0.4903523,0.9500664
445,13353.02,272.6468,25,0,0,0.4839744,0.9519519
446,13383.02,272.6235,25,0,0,0.4642265,1.039229
447,13413.02,272.6003,25,0,0,0.3201543,1.023048
448,13443.02,272.577,25,0,0,0.4585395,1.016081
449,13473.03,272.5537,25,0,0,0.4304156,0.8243146
450,13503.03,272.5305,25,0,0,0.494486,1.098145
451,13533.02,272.5072,25,0,0,0.4858885,0.9896398
452,13563.02,272.4839,25,0,0,0.4809333,1.031118
453,13593.02,272.4607,25,0,0,0.4740428,1.12908
454,13623.03,272.4374,25,0,0,0.4829005,1.080525
455,13653.03,272.4142,25,0,0,0.4902375,0.912113
456,13683.02,272.3909,25,0,0,0.4663578,0.9386187
457,13713.02,272.3676,25,0,0,0.4197742,1.073444
458,13743.02,272.3444,25,0,0,0.4949439,0.9464961
459,13773.02,272.3211,25,0,0,0.4893147,1.017537
460,13803.03,272.2979,25,0,0,0.4694842,0.9948117
461,13833.03,272.2746,25,0,0,0.4819702,1.155781
462,13863.02,272.2513,25,0,0,0.4421219,1.359253
463,13893.03,272.2281,25,0,0,0.4934383,0.8867296
464,13923.03,272.2048,25,0,0,0.492658,1.1333
465,13953.02,272.1815,25,0,0,0.489745,0.9422469
466,13983.02,272.1583,25,0,0,0.4796133,1.005496
467,14013.02,272.135,25,0,0,0.4139135,0.9168847
468,14043.02,272.1117,25,0,0,0.4370353,1.029408
469,14073.03,272.0885,25,0,0,0.4540409,1.067793
